name,email,facultyCode,programmeCode,regNumber,password
Evarist Nakayima,evarist.nakayima@stud.umu.ac.ug,FBAM,BBA,2022-B101-00037,Umu@2026
Christopher Namuli,christopher.namuli@stud.umu.ac.ug,FBAM,BBA,2023-B101-00038,Umu@2026
Timothy Namutebi,timothy.namutebi@stud.umu.ac.ug,FBAM,BBA,2025-B101-00039,Umu@2026
Diana Sserunkuma,diana.sserunkuma@stud.umu.ac.ug,FBAM,BBA,2024-B101-00040,Umu@2026
Sophia Nanyonjo,sophia.nanyonjo@stud.umu.ac.ug,FBAM,BBA,2022-B101-00041,Umu@2026
Andrew Mwangi,andrew.mwangi@stud.umu.ac.ug,FBAM,BBA,2024-B101-00042,Umu@2026
Florence Auma,florence.auma@stud.umu.ac.ug,FBAM,BBA,2023-B101-00043,Umu@2026
Evelyn Bahati,evelyn.bahati@stud.umu.ac.ug,FBAM,BBA,2024-B101-00044,Umu@2026
Mercy Ayebare,mercy.ayebare@stud.umu.ac.ug,FBAM,BBA,2023-B101-00045,Umu@2026
Shanitah Adhiambo,shanitah.adhiambo@stud.umu.ac.ug,FBAM,BBA,2022-B101-00046,Umu@2026
Daniel Ntale,daniel.ntale@stud.umu.ac.ug,FBAM,BBA,2024-B101-00047,Umu@2026
David Ssemakula,david.ssemakula@stud.umu.ac.ug,FBAM,BBA,2025-B101-00048,Umu@2026
Isaac Tumusiime,isaac.tumusiime@stud.umu.ac.ug,FBAM,BBA,2023-B101-00049,Umu@2026
Immaculate Otieno,immaculate.otieno@stud.umu.ac.ug,FBAM,BBA,2022-B101-00050,Umu@2026
Nicholas Nabisubi,nicholas.nabisubi@stud.umu.ac.ug,FBAM,BBA,2025-B101-00051,Umu@2026
Judith Lwanga,judith.lwanga@stud.umu.ac.ug,FBAM,BBA,2022-B101-00052,Umu@2026
Sandra Nansubuga,sandra.nansubuga@stud.umu.ac.ug,FBAM,BBA,2025-B101-00053,Umu@2026
Dennis Nakamatte,dennis.nakamatte@stud.umu.ac.ug,FBAM,BBA,2025-B101-00054,Umu@2026
Robinah Sebbaale,robinah.sebbaale@stud.umu.ac.ug,FBAM,BBA,2025-B101-00055,Umu@2026
Charles Ayebare,charles.ayebare@stud.umu.ac.ug,FBAM,BBA,2022-B101-00056,Umu@2026
Dorcus Akello,dorcus.akello@stud.umu.ac.ug,FBAM,BBA,2025-B101-00057,Umu@2026
Timothy Alupo,timothy.alupo@stud.umu.ac.ug,FBAM,BBA,2024-B101-00058,Umu@2026
Tonny Omoding,tonny.omoding@stud.umu.ac.ug,FBAM,BBA,2025-B101-00059,Umu@2026
Sandra Nakayima,sandra.nakayima@stud.umu.ac.ug,FBAM,BBA,2024-B101-00060,Umu@2026
Sarah Saleh,sarah.saleh@stud.umu.ac.ug,FBAM,BBA,2025-B101-00061,Umu@2026
Brian Kamau,brian.kamau@stud.umu.ac.ug,FBAM,BBA,2022-B101-00062,Umu@2026
Juliet Saleh,juliet.saleh@stud.umu.ac.ug,FBAM,BBA,2025-B101-00063,Umu@2026
Catherine Kirabo,catherine.kirabo@stud.umu.ac.ug,FBAM,BBA,2023-B101-00064,Umu@2026
Medard Ouma,medard.ouma@stud.umu.ac.ug,FBAM,BBA,2025-B101-00065,Umu@2026
Evelyn Komakech,evelyn.komakech@stud.umu.ac.ug,FBAM,BBA,2025-B101-00066,Umu@2026
William Okwir,william.okwir@stud.umu.ac.ug,FBAM,BBA,2025-B101-00067,Umu@2026
Nakato Kiguli,nakato.kiguli@stud.umu.ac.ug,FBAM,BBA,2022-B101-00068,Umu@2026
Patricia Ndyanabo,patricia.ndyanabo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00069,Umu@2026
Judith Uwera,judith.uwera@stud.umu.ac.ug,FBAM,BBA,2023-B101-00070,Umu@2026
Halima Mutua,halima.mutua@stud.umu.ac.ug,FBAM,BBA,2023-B101-00071,Umu@2026
Amina Laker,amina.laker@stud.umu.ac.ug,FBAM,BBA,2024-B101-00072,Umu@2026
Elly Nakato,elly.nakato@stud.umu.ac.ug,FBAM,BBA,2025-B101-00073,Umu@2026
Annet Asiimwe,annet.asiimwe@stud.umu.ac.ug,FBAM,BBA,2024-B101-00074,Umu@2026
Juliet Wafula,juliet.wafula@stud.umu.ac.ug,FBAM,BBA,2022-B101-00075,Umu@2026
Prossy Lwanga,prossy.lwanga@stud.umu.ac.ug,FBAM,BBA,2022-B101-00076,Umu@2026
George Ouma,george.ouma@stud.umu.ac.ug,FBAM,BBA,2023-B101-00077,Umu@2026
Ivan Nakitende,ivan.nakitende@stud.umu.ac.ug,FBAM,BBA,2024-B101-00078,Umu@2026
Diana Atuhaire,diana.atuhaire@stud.umu.ac.ug,FBAM,BBA,2022-B101-00079,Umu@2026
Mercy Cherono,mercy.cherono@stud.umu.ac.ug,FBAM,BBA,2023-B101-00080,Umu@2026
Agnes Atuhaire,agnes.atuhaire@stud.umu.ac.ug,FBAM,BBA,2023-B101-00081,Umu@2026
Sylvia Nakimuli,sylvia.nakimuli@stud.umu.ac.ug,FBAM,BBA,2025-B101-00082,Umu@2026
Victoria Lukwiya,victoria.lukwiya@stud.umu.ac.ug,FBAM,BBA,2025-B101-00083,Umu@2026
Harold Cherono,harold.cherono@stud.umu.ac.ug,FBAM,BBA,2024-B101-00084,Umu@2026
Emmanuel Akena,emmanuel.akena@stud.umu.ac.ug,FBAM,BBA,2025-B101-00085,Umu@2026
Lawrence Ssali,lawrence.ssali@stud.umu.ac.ug,FBAM,BBA,2023-B101-00086,Umu@2026
William Ntale,william.ntale@stud.umu.ac.ug,FBAM,BBA,2025-B101-00087,Umu@2026
Isaac Ssemanda,isaac.ssemanda@stud.umu.ac.ug,FBAM,BBA,2023-B101-00088,Umu@2026
Harriet Adongo,harriet.adongo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00089,Umu@2026
Clare Namiiro,clare.namiiro@stud.umu.ac.ug,FBAM,BBA,2024-B101-00090,Umu@2026
Marion Byaruhanga,marion.byaruhanga@stud.umu.ac.ug,FBAM,BBA,2023-B101-00091,Umu@2026
Patricia Namaganda,patricia.namaganda@stud.umu.ac.ug,FBAM,BBA,2025-B101-00092,Umu@2026
Anthony Akello,anthony.akello@stud.umu.ac.ug,FBAM,BBA,2024-B101-00093,Umu@2026
Joseph Laker,joseph.laker@stud.umu.ac.ug,FBAM,BBA,2023-B101-00094,Umu@2026
Robert Kintu,robert.kintu@stud.umu.ac.ug,FBAM,BBA,2022-B101-00095,Umu@2026
Allen Atuhaire,allen.atuhaire@stud.umu.ac.ug,FBAM,BBA,2024-B101-00096,Umu@2026
Mirembe Saleh,mirembe.saleh@stud.umu.ac.ug,FBAM,BBA,2025-B101-00097,Umu@2026
Mercy Uwera,mercy.uwera@stud.umu.ac.ug,FBAM,BBA,2025-B101-00098,Umu@2026
Timothy Aguti,timothy.aguti@stud.umu.ac.ug,FBAM,BBA,2022-B101-00099,Umu@2026
Isaac Christine Nakamatte,isaac.christine.nakamatte@stud.umu.ac.ug,FBAM,BBA,2024-B101-00100,Umu@2026
Nathan Thomas Kintu,nathan.thomas.kintu@stud.umu.ac.ug,FBAM,BBA,2022-B101-00101,Umu@2026
Faridah Okeyo,faridah.okeyo@stud.umu.ac.ug,FBAM,BBA,2023-B101-00102,Umu@2026
Ronald Anyango,ronald.anyango@stud.umu.ac.ug,FBAM,BBA,2025-B101-00103,Umu@2026
Nicholas Auma,nicholas.auma@stud.umu.ac.ug,FBAM,BBA,2023-B101-00104,Umu@2026
Victoria Birungi,victoria.birungi@stud.umu.ac.ug,FBAM,BBA,2022-B101-00105,Umu@2026
Teddy Adhiambo,teddy.adhiambo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00106,Umu@2026
Amina Ssali,amina.ssali@stud.umu.ac.ug,FBAM,BBA,2025-B101-00107,Umu@2026
Cyprian Cherono,cyprian.cherono@stud.umu.ac.ug,FBAM,BBA,2024-B101-00108,Umu@2026
Samuel Kayiwa,samuel.kayiwa@stud.umu.ac.ug,FBAM,BBA,2024-B101-00109,Umu@2026
Evelyn Nabatanzi,evelyn.nabatanzi@stud.umu.ac.ug,FBAM,BBA,2023-B101-00110,Umu@2026
Halima Okeyo,halima.okeyo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00111,Umu@2026
Clare Namutebi,clare.namutebi@stud.umu.ac.ug,FBAM,BBA,2025-B101-00112,Umu@2026
Scovia Akena,scovia.akena@stud.umu.ac.ug,FBAM,BBA,2022-B101-00113,Umu@2026
Catherine Kamya,catherine.kamya@stud.umu.ac.ug,FBAM,BBA,2022-B101-00114,Umu@2026
Brian Juma,brian.juma@stud.umu.ac.ug,FBAM,BBA,2023-B101-00115,Umu@2026
Winnie Ssebaggala,winnie.ssebaggala@stud.umu.ac.ug,FBAM,BBA,2022-B101-00116,Umu@2026
Mark Mutua,mark.mutua@stud.umu.ac.ug,FBAM,BBA,2024-B101-00117,Umu@2026
Gorreti Mukasa,gorreti.mukasa@stud.umu.ac.ug,FBAM,BBA,2024-B101-00118,Umu@2026
Matia Alupo,matia.alupo@stud.umu.ac.ug,FBAM,BBA,2023-B101-00119,Umu@2026
Edward Nakamya,edward.nakamya@stud.umu.ac.ug,FBAM,BBA,2025-B101-00120,Umu@2026
Priscilla Wasike,priscilla.wasike@stud.umu.ac.ug,FBAM,BBA,2025-B101-00121,Umu@2026
Christine Opio,christine.opio@stud.umu.ac.ug,FBAM,BBA,2023-B101-00122,Umu@2026
Scovia Amone,scovia.amone@stud.umu.ac.ug,FBAM,BBA,2024-B101-00123,Umu@2026
David Ochieng,david.ochieng@stud.umu.ac.ug,FBAM,BBA,2024-B101-00124,Umu@2026
Judith Nakamatte,judith.nakamatte@stud.umu.ac.ug,FBAM,BBA,2022-B101-00125,Umu@2026
Eric Nabirye,eric.nabirye@stud.umu.ac.ug,FBAM,BBA,2022-B101-00126,Umu@2026
Catherine Kasirye,catherine.kasirye@stud.umu.ac.ug,FBAM,BBA,2023-B101-00127,Umu@2026
Abraham Birungi,abraham.birungi@stud.umu.ac.ug,FBAM,BBA,2022-B101-00128,Umu@2026
Robert Kiptoo,robert.kiptoo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00129,Umu@2026
Andrew Oloya,andrew.oloya@stud.umu.ac.ug,FBAM,BBA,2022-B101-00130,Umu@2026
Prossy Okwir,prossy.okwir@stud.umu.ac.ug,FBAM,BBA,2023-B101-00131,Umu@2026
Daniel Amone,daniel.amone@stud.umu.ac.ug,FBAM,BBA,2024-B101-00132,Umu@2026
Margaret Nakamya,margaret.nakamya@stud.umu.ac.ug,FBAM,BBA,2025-B101-00133,Umu@2026
Kenneth Alupo,kenneth.alupo@stud.umu.ac.ug,FBAM,BBA,2023-B101-00134,Umu@2026
Eric Waswa,eric.waswa@stud.umu.ac.ug,FBAM,BBA,2025-B101-00135,Umu@2026
Francis Mwesigwa,francis.mwesigwa@stud.umu.ac.ug,FBAM,BBA,2025-B101-00136,Umu@2026
Umutoni Namiiro,umutoni.namiiro@stud.umu.ac.ug,FBAM,BBA,2022-B101-00137,Umu@2026
Eric Anyango,eric.anyango@stud.umu.ac.ug,FBAM,BBA,2025-B101-00138,Umu@2026
Ivan Ouma,ivan.ouma@stud.umu.ac.ug,FBAM,BBA,2023-B101-00139,Umu@2026
Allen Amone,allen.amone@stud.umu.ac.ug,FBAM,BBA,2022-B101-00140,Umu@2026
Livingstone Wandera,livingstone.wandera@stud.umu.ac.ug,FBAM,BBA,2023-B101-00141,Umu@2026
Christine Kirabo,christine.kirabo@stud.umu.ac.ug,FBAM,BBA,2023-B101-00142,Umu@2026
Isaac Ochieng,isaac.ochieng@stud.umu.ac.ug,FBAM,BBA,2025-B101-00143,Umu@2026
Benjamin Kiguli,benjamin.kiguli@stud.umu.ac.ug,FBAM,BBA,2022-B101-00144,Umu@2026
Brenda Ssemakula,brenda.ssemakula@stud.umu.ac.ug,FBAM,BBA,2025-B101-00145,Umu@2026
Jacob Akena,jacob.akena@stud.umu.ac.ug,FBAM,BBA,2025-B101-00146,Umu@2026
Robinah Anyango,robinah.anyango@stud.umu.ac.ug,FBAM,BBA,2023-B101-00147,Umu@2026
Henry Njoroge,henry.njoroge@stud.umu.ac.ug,FBAM,BBA,2024-B101-00148,Umu@2026
Rebecca Wanyonyi,rebecca.wanyonyi@stud.umu.ac.ug,FBAM,BBA,2025-B101-00149,Umu@2026
Grace Ndyanabo,grace.ndyanabo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00150,Umu@2026
Robert Okello,robert.okello@stud.umu.ac.ug,FBAM,BBA,2022-B101-00151,Umu@2026
Priscilla Nakimuli,priscilla.nakimuli@stud.umu.ac.ug,FBAM,BBA,2022-B101-00152,Umu@2026
Timothy Wandera,timothy.wandera@stud.umu.ac.ug,FBAM,BBA,2023-B101-00153,Umu@2026
Ronald Nabulya,ronald.nabulya@stud.umu.ac.ug,FBAM,BBA,2025-B101-00154,Umu@2026
Anthony Okello,anthony.okello@stud.umu.ac.ug,FBAM,BBA,2023-B101-00155,Umu@2026
Winnie Kagimu,winnie.kagimu@stud.umu.ac.ug,FBAM,BBA,2024-B101-00156,Umu@2026
William Nankya,william.nankya@stud.umu.ac.ug,FBAM,BBA,2023-B101-00157,Umu@2026
Gorreti Kigozi,gorreti.kigozi@stud.umu.ac.ug,FBAM,BBA,2024-B101-00158,Umu@2026
Diana Bahati,diana.bahati@stud.umu.ac.ug,FBAM,BBA,2024-B101-00159,Umu@2026
Sarah Nsubuga,sarah.nsubuga@stud.umu.ac.ug,FBAM,BBA,2023-B101-00160,Umu@2026
Allen Nakayima,allen.nakayima@stud.umu.ac.ug,FBAM,BBA,2025-B101-00161,Umu@2026
Sharon Lamunu,sharon.lamunu@stud.umu.ac.ug,FBAM,BBA,2025-B101-00162,Umu@2026
Julius Tendo,julius.tendo@stud.umu.ac.ug,FBAM,BBA,2024-B101-00163,Umu@2026
Abraham Mugabi,abraham.mugabi@stud.umu.ac.ug,FBAM,BBA,2025-B101-00164,Umu@2026
Abraham Lubega,abraham.lubega@stud.umu.ac.ug,FBAM,BBA,2024-B101-00165,Umu@2026
Simon Byaruhanga,simon.byaruhanga@stud.umu.ac.ug,FBAM,BBA,2023-B101-00166,Umu@2026
Timothy Nakamatte,timothy.nakamatte@stud.umu.ac.ug,FBAM,BBA,2023-B101-00167,Umu@2026
Joseph Nabulya,joseph.nabulya@stud.umu.ac.ug,FBAM,BBA,2023-B101-00168,Umu@2026
Joseph Nsubuga,joseph.nsubuga@stud.umu.ac.ug,FBAM,BBA,2025-B101-00169,Umu@2026
Catherine Kasule,catherine.kasule@stud.umu.ac.ug,FBAM,BBA,2024-B101-00170,Umu@2026
Esther Ssemanda,esther.ssemanda@stud.umu.ac.ug,FBAM,BBA,2022-B101-00171,Umu@2026
Harold Okwir,harold.okwir@stud.umu.ac.ug,FBAM,BBA,2024-B101-00172,Umu@2026
Doreen Adongo,doreen.adongo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00173,Umu@2026
Mariam Wanyama,mariam.wanyama@stud.umu.ac.ug,FBAM,BBA,2024-B101-00174,Umu@2026
Clare Kamya,clare.kamya@stud.umu.ac.ug,FBAM,BBA,2023-B101-00175,Umu@2026
Sharon Ocen,sharon.ocen@stud.umu.ac.ug,FBAM,BBA,2025-B101-00176,Umu@2026
Patricia Wanyonyi,patricia.wanyonyi@stud.umu.ac.ug,FBAM,BBA,2024-B101-00177,Umu@2026
Judith Adhiambo,judith.adhiambo@stud.umu.ac.ug,FBAM,BBA,2025-B101-00178,Umu@2026
Dennis Kintu,dennis.kintu@stud.umu.ac.ug,FBAM,BBA,2024-B101-00179,Umu@2026
Rebecca Anyango,rebecca.anyango@stud.umu.ac.ug,FBAM,BBA,2024-B101-00180,Umu@2026
Clare Kasule,clare.kasule@stud.umu.ac.ug,FBAM,BBA,2022-B101-00181,Umu@2026
Dennis Ayebare,dennis.ayebare@stud.umu.ac.ug,FBAM,BBA,2024-B101-00182,Umu@2026
Jackson Nakimuli,jackson.nakimuli@stud.umu.ac.ug,FBAM,BBA,2024-B101-00183,Umu@2026
Nicholas Kigozi,nicholas.kigozi@stud.umu.ac.ug,FBAM,BBA,2025-B101-00184,Umu@2026
Shanitah Nakato,shanitah.nakato@stud.umu.ac.ug,FBAM,BBA,2025-B101-00185,Umu@2026
Anthony Cherono,anthony.cherono@stud.umu.ac.ug,FBAM,BBA,2023-B101-00186,Umu@2026
Tonny Kigozi,tonny.kigozi@stud.umu.ac.ug,FBAM,BBA,2025-B101-00187,Umu@2026
Immaculate Kasule,immaculate.kasule@stud.umu.ac.ug,FBAM,BBA,2024-B101-00188,Umu@2026
Catherine Twinomugisha,catherine.twinomugisha@stud.umu.ac.ug,FBAM,BBA,2024-B101-00189,Umu@2026
Livingstone Njoroge,livingstone.njoroge@stud.umu.ac.ug,FBAM,BBA,2025-B101-00190,Umu@2026
Joash Lukwiya,joash.lukwiya@stud.umu.ac.ug,FBAM,BBA,2022-B101-00191,Umu@2026
Sharon Okwir,sharon.okwir@stud.umu.ac.ug,FBAM,BBA,2022-B101-00192,Umu@2026
Hadijah Omoding,hadijah.omoding@stud.umu.ac.ug,FBAM,BBA,2025-B101-00193,Umu@2026
Judith Aguti,judith.aguti@stud.umu.ac.ug,FBAM,BBA,2024-B101-00194,Umu@2026
Andrew Odongo,andrew.odongo@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00001,Umu@2026
Joseph Nabisubi,joseph.nabisubi@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00002,Umu@2026
Prossy Tumusiime,prossy.tumusiime@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00003,Umu@2026
Gorreti Atuhaire,gorreti.atuhaire@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00004,Umu@2026
Joseph Nakato,joseph.nakato@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00005,Umu@2026
Scovia Nabongo,scovia.nabongo@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00006,Umu@2026
Uwase Mwesigwa,uwase.mwesigwa@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00007,Umu@2026
Uwase Lukwiya,uwase.lukwiya@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00008,Umu@2026
Edward Namiiro,edward.namiiro@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00009,Umu@2026
David Namaganda,david.namaganda@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00010,Umu@2026
Anthony Ruth Akello,anthony.ruth.akello@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00011,Umu@2026
Esther Ndyanabo,esther.ndyanabo@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00012,Umu@2026
Moreen Wasike,moreen.wasike@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00013,Umu@2026
Evelyn Aguti,evelyn.aguti@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00014,Umu@2026
Nathan Nsubuga,nathan.nsubuga@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00015,Umu@2026
Henry Amone,henry.amone@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00016,Umu@2026
Nathan Nyakato,nathan.nyakato@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00017,Umu@2026
Mirembe Namaganda,mirembe.namaganda@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00018,Umu@2026
Teddy Ssentongo,teddy.ssentongo@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00019,Umu@2026
Tonny Kasirye,tonny.kasirye@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00020,Umu@2026
Umutoni Cherono,umutoni.cherono@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00021,Umu@2026
Uwase Ssewanyana,uwase.ssewanyana@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00022,Umu@2026
Juliet Kagimu,juliet.kagimu@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00023,Umu@2026
Mackline Otieno,mackline.otieno@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00024,Umu@2026
Judith Nabatanzi,judith.nabatanzi@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00025,Umu@2026
Alex Kawuma,alex.kawuma@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00026,Umu@2026
Harriet Ouma,harriet.ouma@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00027,Umu@2026
Olivia Najjuma,olivia.najjuma@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00028,Umu@2026
Stella Wambui,stella.wambui@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00029,Umu@2026
Timothy Natukunda,timothy.natukunda@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00030,Umu@2026
Moses Cherono,moses.cherono@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00031,Umu@2026
Brenda Byaruhanga,brenda.byaruhanga@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00032,Umu@2026
Hadijah Twinomugisha,hadijah.twinomugisha@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00033,Umu@2026
Gorreti Ajok,gorreti.ajok@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00034,Umu@2026
Brian Anyango,brian.anyango@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00035,Umu@2026
Josephine Ssewanyana,josephine.ssewanyana@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00036,Umu@2026
Faridah Nakitende,faridah.nakitende@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00037,Umu@2026
Brian Sserunkuma,brian.sserunkuma@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00038,Umu@2026
Annet Kintu,annet.kintu@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00039,Umu@2026
John Ndyanabo,john.ndyanabo@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00040,Umu@2026
Michael Nanyonjo,michael.nanyonjo@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00041,Umu@2026
Betty Wafula,betty.wafula@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00042,Umu@2026
Lawrence Ampaire,lawrence.ampaire@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00043,Umu@2026
Sandra Kaggwa,sandra.kaggwa@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00044,Umu@2026
Winnie Asiimwe,winnie.asiimwe@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00045,Umu@2026
Nathan Cherono,nathan.cherono@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00046,Umu@2026
Esther Adhiambo,esther.adhiambo@stud.umu.ac.ug,FBAM,BCOM,2023-B102-00047,Umu@2026
Timothy Wambui,timothy.wambui@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00048,Umu@2026
Allen Twinomugisha,allen.twinomugisha@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00049,Umu@2026
Shamim Nakamatte,shamim.nakamatte@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00050,Umu@2026
Mirembe Wanyonyi,mirembe.wanyonyi@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00051,Umu@2026
Jacob Ampaire,jacob.ampaire@stud.umu.ac.ug,FBAM,BCOM,2022-B102-00052,Umu@2026
Olivia Lamunu,olivia.lamunu@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00053,Umu@2026
Faridah Nabongo,faridah.nabongo@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00054,Umu@2026
Hassan Ntale,hassan.ntale@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00055,Umu@2026
Geoffrey Najjuma,geoffrey.najjuma@stud.umu.ac.ug,FBAM,BCOM,2025-B102-00056,Umu@2026
Joy Katongole,joy.katongole@stud.umu.ac.ug,FBAM,BCOM,2024-B102-00057,Umu@2026
